"We reccomend using the tools below to build the hand yourself, you may be able to build it without the tools but it will be more difficult",,
,,
,,
Tool,Link,Function
Floss tool,https://www.amazon.com/WLLHYF-Floss-Multifunctional-Deep-Clean/dp/B0C374TM1X/ref=sr_1_1_sspa?crid=YF4H4AAJE3R8&dib=eyJ2IjoiMSJ9.YRybCDGHTW-o98KAdLBkP5UfO4N4ppJCRu4mDk2azPfJyVjLIuT7c9r1XAu1aH0F_B9ZiT9pIs-S8MTXRqxiEEn7I1FRIPUk3A1EZTnU56qEbsWm2L0JTWNCzEa_KZLjqnIlKLZITT3hKfgNcdTLEbSGbPp1u8W1Y_qS2wBpm7N6O19GeNzr6J6mt1Kfvrqn9XDLb3QYUZS3SU7FlumiyPQyz7sw_KeFuCXnJQZUO8o.tjUGFdcRueYneVPCtkvCTJ_Syx6N-f2jlJMxJkwPqWg&dib_tag=se&keywords=dental%2Bfloss%2Bthreader&qid=1758237259&refinements=p_36%3A-500&rnid=386636011&sprefix=dental%2Bfloss%2Bthreade%2Caps%2C170&sr=8-1-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&th=1,"This makes routing cables super easy, without it assembly becomes challenging (still possible)"
Superglue,amazon.com/Loctite-Control-4-Gram-Bottle-1739050/dp/B00ELV2D0Y/ref=sr_1_9?crid=1NFLQOVYY0MOX&dib=eyJ2IjoiMSJ9.VzOtkLFDgnBq1uZQL8f-HT2o_EvceGCmp4LROwN_uk56eIWVbzoqeGGHwIJwuwP_YI6xcWLa-PVokqch6YbsSC7L2sY3fWMXFEmwlYZavI5gXuBSTtcDbyyXJZxPe30XBdPngJO50Lze-5PnihTlHJtQzbdwN6Vc7rLz3y4HaUWFynBGrQPEZrLrXeHC5qpVjWAuVN6X1sYZl8um77B7w0ldhaHHVJ-nGq9C3WC6YYs.ADFwEfGRX7VMNHP7zmvK0ciRAjY7Z0QdbZu57QWEZ2Y&dib_tag=se&keywords=super+glue+gel&qid=1758236840&sprefix=super+glue+ge%2Caps%2C213&sr=8-9,"Secure pins if they are too loose, use instead of loctite on fasteners (not reccomended)"
Silicone Adhesive,amazon.com/ALECPEA-30g-Silicone-Glue-Fast-Bonding/dp/B0CHJND26L/ref=sr_1_3?crid=804CEQRU75C3&dib=eyJ2IjoiMSJ9.KkdHiRmeXmoAr1pJMSARoVfNyF1UJ0G4GOxyLhkzwYl1huPajPaqQdMRN89bh59-E0g6UrwtDCajPMEgNJoff40-13NOzZWuAgmtSwF6GGJS_pB9nFcJ3DV4np9QXwtvG2vuAUxvYNhfX9MdChr2Fui7YzdRi4nXAosf7mnEIJgs1p_E2moGD2O519lCALQPdhjXZib6-H5nJ8DqU8EUjxpZvceSndtldi10ZMfVDv4.qmnubKoVOI6RoOEgyxagHz5k_m9iis7s4srMcdAuxKc&dib_tag=se&keywords=silicone+glue&qid=1759859278&sprefix=silicone+glue%2Caps%2C184&sr=8-3,required for bonding silicone to plastic
Files/Sandpaper,https://www.amazon.com/Hardened-Strength-Barrette-Crossing-Equaling/dp/B07PPYWSCY/ref=sr_1_3?crid=35Q17DN0J6QA2&dib=eyJ2IjoiMSJ9.hEQvP2UZR4ZhmUVknTnMpVDw5Hf5y7iIN_1HBHSYeGqN4LQ_1ANCMc3Ibcj8_4cBrbNnmhYRFP2BWr5ceEvLsCqOjeg4_QO0720CVnBpl67YEwYVoARzEOc-7FiUMdARrw1qsz_Jwt3RCTRrZdg4SXyPdg0BKfi4Q8oyBQjnN0eyYLlW7nuUWtw4mg0FkU0Aghja9uSK_qBZwzK_zvVuynzKt3vZbjzhGosd2tOXjCs.fPdJoWzRxq1QrnPzetpk0CkeNI6myVlQLDWX-3xfn_g&dib_tag=se&keywords=mini+files&qid=1758236936&sprefix=mini+file%2Caps%2C206&sr=8-3,Use to clean up 3D prints
Wire Cutters,amazon.com/HongWay-Cutters-Cutting-Electronics-5-inches/dp/B09W8YYJD6/ref=sr_1_3?crid=3IW7FKEKJ1507&dib=eyJ2IjoiMSJ9.3v91NM1r9OYyQFU-OQ7yqH6oYIAzWQ7Zcg2IBMWlreMcb2fBTScDE62j71CaKSdXqkvbRDxpL1As5Lqy1k2iiXvI78JlQxpR0c45vidJxKdg8yLach6cAnp07A0O0a01k3dkXCXpm7egDxa6wcTRkRH005kixvTCjFaSmBaRf2KV7pOYPvVzeN5VEreb9YiwO1JNf2AIOUNbbbn5WMLhBs6l5PKmZ2yXt3puInAEYa8.Vew8ePZ2H5D1x_YUtwJ3dFdrjLW-yKj1NAdbtv0Wdr8&dib_tag=se&keywords=flush+cutters&qid=1758236951&sprefix=flsuh+currer%2Caps%2C164&sr=8-3,Use to clean up 3D prints
Jewelry drill kit,amazon.com/Vise-Hand-Drill-Jewelry-Making/dp/B098CF3VMM/ref=sr_1_5?crid=14VZV4CUOZE05&dib=eyJ2IjoiMSJ9.cB1t0N7_W1MXwUNYf4FGdoyPPi4If-c6eGxvrQmQaZLn17n0UI_mH0B7q4P80thHpkCyGSLsaXHgNHUctejxMovLXCZ2RN5MSKh1iQaQEtvdgEIEGok_oC9ctMSMiag3BwMRbxj-fyKDZw76k720JhPWwrPbXArxPYtlfKsfLKIQUv-U4wpQT1F0fQf7aNHCyErwsJnXPVumfGfgaxDGle3RJOAfl9J2y-bwXh-B1ck.3zxrETT7iHDFkvhJUo8ztnyfkATN-093DLzMpGoixL0&dib_tag=se&keywords=jewelry+drill+kit&qid=1758236968&sprefix=jewelry+drill+ki%2Caps%2C168&sr=8-5,Drill out 3D printed part holes
2.1mm drill,https://www.amazon.com/HARFINGTON-Drilling-Stainless-Plastic-Materials/dp/B0D542KTPL/ref=sr_1_3?crid=3UZKN1HKM5UWA&dib=eyJ2IjoiMSJ9.QYR8FPQ7TO0GZyGdqMaY5b-Atp-xhX9xuQ203c1wVyxb2kVFDZ1UoGry0nx66PNDRjVueII61fjPXVHVg7Y5nMfNwmHxlth-Jl6uwNNSpuOSwt5dEgfvPf4oTHgojyu8jDTEU_QSzooyYfw5XY6a_ur7KsZpPBwoiC2aJfaY6uNAYW3pfQ3mUxK0zTJzZ1B1KKp5OywVdWASATVCm3veNcOFmQknxSTKb8i5Mo_rGPU.CYgbgQWK-BCDC5WCMPhaOuf6T0aSxzGnANomS5pqQ5w&dib_tag=se&keywords=2.1mm+drill&qid=1758237025&sprefix=2.1mm+drill%2Caps%2C194&sr=8-3,2.1mm drill
Sharp Scissors/razor blade,-,For cutting vectran/kevlar/cable
Tweezers,-,To help fish cable through certain features
Torx Screwdriver set,-,for fasteners
Philips screwdriver set,-,for fasteners
Flexible driver extension,-,Helps to reach hard to reach bolts without stripping screws
3D printer,-,Necessary to print your own parts
Soldering Equipment,-,For heat inserts and if making soldered wire connections
Tape measure,-,For measuring cable lengths
Needle nose pliers,-,Helpful when installing pins
Sharpie/paint marker,-,for marking servo numbers and cable lengths